STATE,Initial Claims,First Payments,Weeks Claimed,Weeks Compensated,Avg. Wkly Benefit,Benefits Paid,Final Payments
Connecticut,92695,67307,1297579,1033927,322.22,320468266,3685
Delaware,20297,12316,217956,214641,254.23,53251319,532
District of Columbia,21618,13528,295395,234250,358.36,81790559,883
Florida,898293,515579,2620172,3313928,237.70,784758376,8024
Georgia,836060,207520,3225454,2784707,265.56,711079787,7518
Hawaii,45484,63579,499385,573761,466.14,263095774,633
Idaho,21133,13969,259460,198166,287.42,51800727,2024
Illinois,270924,219576,2652781,2668269,333.48,885708865,10523
Indiana,123244,118127,1532471,1417020,261.65,363303243,1987
Iowa,53242,54312,718761,703289,327.79,219043360,2682
Kansas,47905,88537,433566,415321,344.13,139286355,1055
Kentucky,260797,66741,960763,955822,332.16,317705362,1675
Louisiana,124310,73745,1307256,1172589,186.59,206277488,1476
Maine,43670,26954,519523,397652,335.08,130809248,1026
Maryland,149392,49175,1196359,932907,322.10,293545863,2677
Massachusetts,162457,155950,2716786,2170326,444.96,966147387,8583
Michigan,221346,281311,3863790,3674124,318.14,1129559320,13082
Minnesota,125273,988,1750701,1516802,374.58,552288116,6582
Mississippi,103087,60675,947444,779289,192.83,145555947,889
Missouri,117386,55626,1168375,978156,246.45,231334057,3561
Montana,14828,629,227897,159586,341.37,46952310,922
Nebraska,24248,30316,242626,308615,339.11,85288158,879
Nevada,74469,75542,1607519,1436268,354.70,497384019,3037
New Hampshire,33992,31013,403862,326427,253.57,79401690,247
New Jersey,156391,118392,2530133,2369193,419.10,961960737,14047
New Mexico,28341,27130,454851,433660,312.96,130985306,1384
New York,1197927,421141,8766396,6411994,348.09,2170165924,19486
North Carolina,199809,142957,2115314,1835838,223.21,390217587,5811
North Dakota,11155,10931,130666,141987,406.57,56494149,732
Ohio,182904,166334,2735881,2286241,334.00,746695549,21
Oklahoma,213102,90418,720392,679524,338.77,230110932,2327
Oregon,116055,62553,1133787,817713,360.61,291508766,2647
Pennsylvania,230456,205990,4555994,3322950,344.86,1092473624,10762
Puerto Rico,131246,56703,669426,626593,160.54,100262712,2202
Rhode Island,17057,12222,351781,337720,317.88,104942870,1235
South Carolina,99063,65779,1128588,971340,246.60,240203804,3648
South Dakota,10294,6957,98953,75054,275.33,19708822,173
Tennessee,110308,104662,1246966,1314249,269.06,280972012,2869
Texas,570642,460150,5436702,4896237,351.18,1628480085,18027
Utah,26684,31213,419256,325967,343.05,107522258,1136
Vermont,11531,10525,235579,207573,348.51,67334411,395
Virgin Islands,845,2065,14353,14111,359.33,4947051,83
Virginia,175962,202058,1860719,1493926,260.64,379537658,2928
Washington,344973,78109,2613941,1997814,497.40,930347288,6415
West Virginia,22408,23149,432298,396467,242.81,92441987,1704
Wisconsin,135138,35508,1292605,998768,289.77,267649268,4296
Wyoming,10774,5027,75224,67541,378.37,24990430,394
United States,9273398,5756570,86948621,76776856,319.46,23713379303,262760
Alabama,82914,31012,690477,709348,245.53,168920452,36832
Alaska,28699,6549,168389,187704,244.90,43654621,680
Arizona,110709,69161,914336,1105180,241.15,258024297,3720
Arkansas,42874,16680,469304,377070,213.88,74024463,2564
California,1153480,508688,12588691,12385217,286.86,3401261501,86150
Colorado,43089,48225,1063849,1196650,365.59,422595854,4386
Connecticut,52996,44814,981524,1161990,298.29,325646289,4993
Delaware,13391,5906,233892,231868,240.24,53853613,801
District of Columbia,13753,7822,281064,300840,353.01,102716364,986
Florida,405554,315662,3537523,3368898,233.45,774145423,62958
Georgia,607851,112472,3164841,2711142,263.30,683992204,15654
Hawaii,33085,25557,606065,578947,456.19,258476740,740
Idaho,17983,12575,133780,163977,286.26,41073558,4078
Illinois,196510,124516,2967888,3018528,319.86,958712718,12950
Indiana,133557,62131,1021801,1059594,240.67,247620765,1945
Iowa,39218,24716,723839,600440,315.08,175299329,4967
Kansas,40055,21882,424642,396616,337.27,129036271,2927
Kentucky,140813,20332,843486,792879,296.29,235294391,2130
Louisiana,102205,36326,1304562,1348700,182.81,231050879,1546
Maine,14229,13904,308056,317998,303.85,93879586,1345
Maryland,134689,123570,1086138,1070243,310.95,314802107,3181
Massachusetts,132296,92324,2310433,2304876,425.55,985839818,13082
Michigan,109836,92153,3033932,2823773,306.46,805386130,9792
Minnesota,101065,546,1528988,1488205,373.19,531235774,12835
Mississippi,70171,33742,657190,693021,187.07,123824886,2418
Missouri,81511,29997,879386,970626,241.65,220425133,5547
Montana,11507,730,176598,155310,331.31,41265817,1960
Nebraska,20581,10803,228366,250294,279.80,66493477,1818
Nevada,47859,39298,1269103,1306150,353.63,438356270,5481
New Hampshire,23809,13438,322647,330262,239.67,75201944,395
New Jersey,161334,50708,2347735,2212694,405.46,859341577,16999
New Mexico,19578,14185,403209,384210,316.87,115013604,1158
New York,597994,239187,8030898,8037218,338.21,2591653301,18231
North Carolina,131869,86823,1553851,1728277,219.54,353048441,152656
North Dakota,8833,6630,142020,159215,426.29,66001395,2534
Ohio,144330,63862,1876545,1823308,327.39,571775682,8
Oklahoma,232932,69352,674477,608175,347.47,211294276,1942
Oregon,77287,39559,1116568,886804,361.78,313486910,3925
Pennsylvania,199418,102722,3358657,2811704,332.38,875327066,10711
Puerto Rico,41490,45970,836650,893252,158.76,141184577,2606
Rhode Island,13706,7032,342412,334941,311.29,100085432,1558
South Carolina,74376,29045,839016,748358,234.37,176018918,3690
South Dakota,4546,4629,73727,70400,280.52,18456491,166
Tennessee,94164,33234,1202888,1195416,215.38,236065710,4948
Texas,405866,222978,5466196,5213795,353.15,1703373542,41220
Utah,22166,14683,338650,360005,347.80,118737417,3067
Vermont,10376,4324,187026,191147,334.98,57566651,460
Virgin Islands,821,1760,24311,24274,351.41,8087990,101
